Temperature(kT) 	 Energy 	 Magnetization 	 Specific Heat 	 Susceptibility 
0.010000	-0.036706	-169034400000.000000	293047.286389	6.733127
0.020000	-0.037150	139271400000.000000	51881.954931	2.047527
0.030000	-0.056501	-205299000000.000000	45940.371357	1.887107
0.040000	-0.039569	-141976800000.000000	12588.726011	1.200292
0.050000	-0.114004	251834400000.000031	22717.286748	0.936314
0.060000	-0.064473	195085800000.000000	10669.439298	1.544433
0.070000	-0.014763	-98559000000.000000	1958.906719	1.159046
0.080000	-0.029564	-154056600000.000000	4122.768808	0.527246
0.090000	-0.075344	-214309800000.000000	5399.810137	0.577940
0.100000	-0.014243	103406400000.000000	1134.754471	0.629746
0.110000	-0.026196	151878600000.000000	1991.352454	1.298783
0.120000	-0.009678	-83629800000.000000	548.087801	2.546833
0.130000	-0.128094	302225400000.000000	5124.592096	0.180909
0.140000	-0.054627	174177000000.000000	1557.228634	0.192945
0.150000	-0.003308	-51217200000.000000	131.965850	0.128589
0.160000	-0.058924	-189748800000.000000	1258.210980	0.275248
0.170000	-0.184249	-344158200000.000000	3477.547367	0.276586
0.180000	-0.000468	-5106600000.000000	1.979621	0.239912
0.190000	-0.028981	-126655200000.000015	449.212992	0.535848
0.200000	-0.007282	-86742000000.000000	205.782863	0.146709
0.210000	-0.024792	129463200000.000015	391.634947	0.419349
0.220000	-0.004381	54408600000.000000	65.724879	0.155424
0.230000	-0.103156	-252093600000.000031	1132.339055	0.117474
0.240000	-0.112954	-253468800000.000031	1011.267452	0.125225
0.250000	-0.000226	13271400000.000000	3.312032	0.100407
0.260000	-0.025384	-116812800000.000015	215.503423	0.133422
0.270000	0.000006	-2433600000.000000	0.300152	0.077631
0.280000	-0.000814	9943200000.000000	2.988715	0.626626
0.290000	-0.237184	391320000000.000000	1341.808361	0.400215
0.300000	-0.036588	-144608400000.000000	241.771308	0.052352
0.310000	-0.018126	97223400000.000000	101.116788	0.150291
0.320000	-0.674597	-661453200000.000000	1227.554755	0.570574
0.330000	-0.117006	277704000000.000000	653.106907	0.074069
0.340000	-0.005061	-53933400000.000000	26.941532	0.116701
0.350000	-0.031928	139908600000.000000	156.144950	0.402089
0.360000	-0.021749	-104635800000.000000	87.869569	0.534220
0.370000	-0.005059	51035400000.000000	21.257732	0.400557
0.380000	-0.094763	-242920800000.000031	386.985570	0.918270
0.390000	-0.037072	-169698600000.000000	205.980669	0.107240
0.400000	-0.064397	206332200000.000000	256.819452	0.181504
0.410000	-0.051626	195179400000.000000	225.239081	0.124786
0.420000	-0.001886	-23149800000.000000	3.242776	0.089436
0.430000	-0.029063	130393800000.000015	94.142578	0.076553
0.440000	-0.042382	-184876200000.000000	189.212645	1.541498
0.450000	-0.078360	242494200000.000031	298.162126	0.118183
0.460000	-0.007603	57774600000.000008	17.026215	0.216537
0.470000	-0.002181	51451200000.000000	13.635419	0.072973
0.480000	-0.009168	103096800000.000000	46.772714	0.051813
0.490000	-0.035874	-147306600000.000000	89.886717	0.342553
0.500000	-0.004691	-51084000000.000000	11.548252	0.114556
0.510000	-0.005306	-60892200000.000008	15.735941	0.075048
0.520000	-0.149971	-314708400000.000000	326.092897	0.278613
0.530000	-0.055427	-198066600000.000000	139.602890	0.071645
0.540000	-0.043920	193726800000.000000	137.355126	0.260923
0.550000	-0.080222	227932200000.000000	167.642446	0.317506
0.560000	-0.154798	312730200000.000000	276.719901	0.160102
0.570000	-0.010531	-79583400000.000000	19.864606	0.050258
0.580000	-0.011492	86610600000.000000	23.716176	0.043060
0.590000	-0.029837	-151570800000.000000	69.101801	0.045360
0.600000	-0.030547	143726400000.000000	63.788062	0.319799
0.610000	-0.113637	293142600000.000000	223.900649	0.058000
0.620000	-0.003968	-47763000000.000000	6.220601	0.033382
0.630000	-0.029151	-125290800000.000015	40.198254	0.199173
0.640000	-0.024144	-109922400000.000000	28.060045	0.043287
0.650000	-0.000387	34489800000.000000	3.083100	0.108424
0.660000	-0.092710	-251636400000.000031	140.282365	0.097611
0.670000	-0.080989	233073000000.000031	119.999757	0.071043
0.680000	-0.002507	30285000000.000004	2.145810	0.091872
0.690000	-0.086227	240062400000.000031	122.430417	0.049021
0.700000	-0.101472	-268810200000.000031	140.820692	0.048458
0.710000	-0.152252	314308800000.000000	179.145532	0.073656
0.720000	-0.035002	-159849000000.000000	50.526732	0.014315
0.730000	-0.017692	126991800000.000015	31.076114	0.064849
0.740000	-0.153012	326181600000.000000	164.154195	0.113328
0.750000	-0.010722	81604800000.000000	12.401540	0.168196
0.760000	-0.013230	85566600000.000000	13.254079	0.027852
0.770000	-0.294516	-438908400000.000000	228.641532	0.159906
0.780000	-0.001459	29788200000.000004	1.795359	0.083006
0.790000	-0.183767	-344530800000.000000	155.663316	0.083765
0.800000	0.000194	-24382800000.000000	0.986324	0.040022
0.810000	-0.007490	-64202400000.000008	6.298576	0.067006
0.820000	-0.000910	24166800000.000000	0.920220	0.048296
0.830000	-0.006342	51244200000.000000	4.239607	0.133874
0.840000	-0.074966	-208056600000.000000	61.381896	0.036055
0.850000	-0.001146	-17730000000.000000	0.513827	0.038816
0.860000	-0.007079	54151200000.000000	4.118532	0.034909
0.870000	-0.070384	210697200000.000000	62.129065	0.023372
0.880000	-0.152047	-318461400000.000000	112.408197	0.087914
0.890000	-0.122873	-290464200000.000000	105.069560	0.022596
0.900000	-0.011370	-80301600000.000000	8.240256	0.086881
0.910000	-0.101126	-258082200000.000031	81.380382	0.019015
0.920000	-0.047756	-176911200000.000000	40.257621	0.027678
0.930000	-0.063042	200674800000.000000	47.775811	0.025328
0.940000	-0.019423	107915400000.000000	13.879364	0.119228
0.950000	-0.190471	365880600000.000000	129.149442	0.038006
0.960000	-0.034294	164820600000.000000	30.941152	0.070044
0.970000	-0.015034	105435000000.000000	13.313873	0.016836
0.980000	-0.051332	180277200000.000000	33.936156	0.030786
0.990000	-0.132630	296584200000.000000	78.019694	0.093430
1.000000	-0.026963	139210200000.000000	20.153013	0.043903
1.010000	-0.035413	145945800000.000000	22.199394	0.011320
1.020000	-0.057767	208670400000.000000	43.826913	0.229319
1.030000	-0.042106	-190143000000.000000	37.654773	0.021099
1.040000	-0.021783	-125472600000.000015	15.379550	0.016569
1.050000	-0.000104	5943600000.000000	0.136826	0.146230
1.060000	-0.313369	-453889800000.000000	127.788556	0.032030
1.070000	-0.010027	-68135400000.000008	4.190867	0.118926
